data,moeda,preco_usd,ano,mes
2022-12-28,BTC,16966.382112325467,2022,12
2023-01-28,BTC,20044.788879919153,2023,1
2023-02-28,BTC,23308.15061444375,2023,2
2023-03-28,BTC,24986.55402819354,2023,3
2023-04-28,BTC,28833.24928947539,2023,4
2023-05-28,BTC,27572.75180546727,2023,5
2023-06-28,BTC,27657.394154036556,2023,6
2023-07-28,BTC,30090.07957460349,2023,7
2023-08-28,BTC,27950.695465212124,2023,8
2023-09-28,BTC,26267.484927346322,2023,9
2023-10-28,BTC,29503.236965590902,2023,10
2023-11-28,BTC,36510.04472803711,2023,11
2023-12-28,BTC,42406.689796405,2023,12
2024-01-28,BTC,42900.73695831616,2024,1
2024-02-28,BTC,49232.51961805317,2024,2
2024-03-28,BTC,67410.81873208864,2024,3
2024-04-28,BTC,66275.69509976043,2024,4
2024-05-28,BTC,65055.81549180553,2024,5
2024-06-28,BTC,66053.75856626955,2024,6
2024-07-28,BTC,62761.60804689705,2024,7
2024-08-28,BTC,60107.96853052593,2024,8
2024-09-28,BTC,60210.02872389904,2024,9
2024-10-28,BTC,65360.04001652121,2024,10
2024-11-28,BTC,85687.3601419989,2024,11
2024-12-28,BTC,98380.90778199892,2024,12
2025-01-28,BTC,99696.06252905859,2025,1
2025-02-28,BTC,95922.84913565071,2025,2
2025-03-28,BTC,85158.74378752633,2025,3
2025-04-28,BTC,86068.12520336392,2025,4
2025-05-28,BTC,103284.77061411348,2025,5
2025-06-28,BTC,105714.03237053214,2025,6
2025-07-28,BTC,115067.70320220456,2025,7
2025-08-28,BTC,115082.6039365858,2025,8
2025-09-28,BTC,112961.94299270981,2025,9
2025-10-28,BTC,114559.91665838343,2025,10
