data_mensal,ano,mes,preco_usd
2018-11-01,2018,11,5501.286535461351
2018-12-01,2018,12,3684.0550370597343
2019-01-01,2019,1,3661.377844039735
2019-02-01,2019,2,3675.874108764173
2019-03-01,2019,3,3930.1478055575126
2019-04-01,2019,4,5118.40377524764
2019-05-01,2019,5,7191.559089268884
2019-06-01,2019,6,9333.91601150218
2019-07-01,2019,7,10698.367555843952
2019-08-01,2019,8,10646.743263944123
2019-09-01,2019,9,9838.894285189072
2019-10-01,2019,10,8348.787893962626
2019-11-01,2019,11,8391.820301410371
2019-12-01,2019,12,7260.18574622032
2020-01-01,2020,1,8297.873269513788
2020-02-01,2020,2,9661.30680463542
2020-03-01,2020,3,6951.95301129559
2020-04-01,2020,4,7134.565377461739
2020-05-01,2020,5,9221.57283038268
2020-06-01,2020,6,9492.753813578056
2020-07-01,2020,7,9518.782679901477
2020-08-01,2020,8,11630.115178920976
2020-09-01,2020,9,10673.321498967352
2020-10-01,2020,10,11787.007625304124
2020-11-01,2020,11,16454.541288702465
2020-12-01,2020,12,21698.23643221539
2021-01-01,2021,1,34634.24310969527
2021-02-01,2021,2,45897.94904982026
2021-03-01,2021,3,54532.80524870421
2021-04-01,2021,4,57148.23715053179
2021-05-01,2021,5,47187.7147902057
2021-06-01,2021,6,35973.7444692424
2021-07-01,2021,7,34271.52813871139
2021-08-01,2021,8,45563.6735255675
2021-09-01,2021,9,46085.361451894605
2021-10-01,2021,10,57485.34348063382
2021-11-01,2021,11,60984.68847964431
2021-12-01,2021,12,49722.381007831485
2022-01-01,2022,1,41413.91580726949
2022-02-01,2022,2,40648.22165632696
2022-03-01,2022,3,41897.67000621025
2022-04-01,2022,4,41716.10571715787
2022-05-01,2022,5,31945.262298936104
2022-06-01,2022,6,24801.550994146888
2022-07-01,2022,7,21431.69954994507
2022-08-01,2022,8,22493.90961265909
2022-09-01,2022,9,19820.503938870683
2022-10-01,2022,10,19614.28474983723
2022-11-01,2022,11,17712.67869374348
2022-12-01,2022,12,16966.382112325467
2023-01-01,2023,1,20044.788879919157
2023-02-01,2023,2,23308.15061444375
2023-03-01,2023,3,24986.55402819354
2023-04-01,2023,4,28833.24928947539
2023-05-01,2023,5,27572.75180546727
2023-06-01,2023,6,27657.39415403656
2023-07-01,2023,7,30090.07957460349
2023-08-01,2023,8,27950.695465212124
2023-09-01,2023,9,26267.48492734632
2023-10-01,2023,10,29503.236965590902
2023-11-01,2023,11,36510.04472803711
2023-12-01,2023,12,42406.689796405
2024-01-01,2024,1,42900.73695831616
2024-02-01,2024,2,49232.51961805317
2024-03-01,2024,3,67410.81873208864
2024-04-01,2024,4,66275.69509976043
2024-05-01,2024,5,65055.81549180553
2024-06-01,2024,6,66053.75856626955
2024-07-01,2024,7,62761.60804689705
2024-08-01,2024,8,60107.96853052593
2024-09-01,2024,9,60210.02872389904
2024-10-01,2024,10,65360.04001652121
2024-11-01,2024,11,85687.3601419989
2024-12-01,2024,12,98380.90778199892
2025-01-01,2025,1,99696.0625290586
2025-02-01,2025,2,95922.84913565071
2025-03-01,2025,3,85158.74378752633
2025-04-01,2025,4,86068.12520336392
2025-05-01,2025,5,103284.77061411348
2025-06-01,2025,6,105714.03237053214
2025-07-01,2025,7,115067.70320220456
2025-08-01,2025,8,115082.6039365858
2025-09-01,2025,9,112961.9429927098
2025-10-01,2025,10,114559.91665838344
