ano;mes;media_preco;desvio_padrao;preco_min;preco_max;variacao_percentual
2013;4;137.52;;137.52;137.52;
2013;5;119.42396774193548;;119.42396774193548;119.42396774193548;-13.158836720523936
2013;6;107.80035862068964;;107.80035862068964;107.80035862068964;-9.733062249584123
2013;7;89.98217096774194;;89.98217096774194;89.98217096774194;-16.528876045434536
2013;8;113.73258064516128;;113.73258064516128;113.73258064516128;26.39457286036555
2013;9;130.714;;130.714;130.714;14.931006804303259
2013;10;157.7274193548387;;157.7274193548387;157.7274193548387;20.666049049710587
2013;11;533.301;;533.301;533.301;238.11559345952085
2013;12;808.5167741935484;;808.5167741935484;808.5167741935484;51.60608628027106
2014;1;842.9516129032259;;842.9516129032259;842.9516129032259;4.259013518182653
2014;2;666.6432142857142;;666.6432142857142;666.6432142857142;-20.915601313138787
2014;3;592.5379032258064;;592.5379032258064;592.5379032258064;-11.116187710589553
2014;4;460.5380666666667;;460.5380666666667;460.5380666666667;-22.277028328572047
2014;5;484.47523548387096;;484.47523548387096;484.47523548387096;5.197652604584757
2014;6;612.14361;;612.14361;612.14361;26.35188863443554
2014;7;615.6321500076444;;615.6321500076444;615.6321500076444;0.5698891486663582
2014;8;534.9412273417518;;534.9412273417518;534.9412273417518;-13.107002723118132
2014;9;442.97731333333337;;442.97731333333337;442.97731333333337;-17.191405206401576
2014;10;361.331502253619;;361.331502253619;361.331502253619;-18.431149546992074
2014;11;364.42880163627166;;364.42880163627166;364.42880163627166;0.8571905198785146
2014;12;340.4420594421721;;340.4420594421721;340.4420594421721;-6.582010556355589
2015;1;248.62133699771456;;248.62133699771456;248.62133699771456;-26.9710277851419
2015;2;233.98827194856668;;233.98827194856668;233.98827194856668;-5.885683516086315
2015;3;268.2939496365833;;268.2939496365833;268.2939496365833;14.66128084212588
2015;4;234.9811464379908;;234.9811464379908;234.9811464379908;-12.416531660037911
2015;5;236.89434497091383;;236.89434497091383;236.89434497091383;0.8141923562484221
2015;6;237.9010399808965;;237.9010399808965;237.9010399808965;0.42495527282691015
2015;7;278.7207387223268;;278.7207387223268;278.7207387223268;17.158268305471935
2015;8;251.4899869237965;;251.4899869237965;251.4899869237965;-9.769905147122449
2015;9;233.4377965214629;;233.4377965214629;233.4377965214629;-7.178095089648062
2015;10;265.03092751853615;;265.03092751853615;265.03092751853615;13.53385418636288
2015;11;347.92272;;347.92272;347.92272;31.276271511997965
2015;12;424.5273870967742;;424.5273870967742;424.5273870967742;22.01772482601141
2016;1;410.816170967742;;410.816170967742;410.816170967742;-3.2297600922285508
2016;2;403.20389655172414;;403.20389655172414;403.20389655172414;-1.8529636742599331
2016;3;414.8698387096774;;414.8698387096774;414.8698387096774;2.893310867708032
2016;4;434.2048666666667;;434.2048666666667;434.2048666666667;4.6605046096204195
2016;5;461.9752258064516;;461.9752258064516;461.9752258064516;6.395681226001515
2016;6;642.125542229736;;642.125542229736;642.125542229736;38.99566607902041
2016;7;661.8538654850242;;661.8538654850242;661.8538654850242;3.0723467543096072
2016;8;577.688033357651;;577.688033357651;577.688033357651;-12.716679091342066
2016;9;604.7146045178117;;604.7146045178117;604.7146045178117;4.678402459382158
2016;10;641.1230746050722;;641.1230746050722;641.1230746050722;6.020769105831669
2016;11;724.3468902622135;;724.3468902622135;724.3468902622135;12.98094218624195
2016;12;824.6431416089134;;824.6431416089134;824.6431416089134;13.846439143321598
2017;1;910.3463943533916;;910.3463943533916;910.3463943533916;10.392768510421057
2017;2;1064.5357128761211;;1064.5357128761211;1064.5357128761211;16.937433869032724
2017;3;1129.982508925163;;1129.982508925163;1129.982508925163;6.147919253194467
2017;4;1217.1546531507236;;1217.1546531507236;1217.1546531507236;7.7144684574346645
2017;5;1880.6084870967743;;1880.6084870967743;1880.6084870967743;54.50858953943409
2017;6;2653.764180778026;;2653.764180778026;2653.764180778026;41.11199640892964
2017;7;2514.096534111341;;2514.096534111341;2514.096534111341;-5.263001425610369
2017;8;3803.650858560248;;3803.650858560248;3803.650858560248;51.29295183984357
2017;9;4051.9303820030063;;4051.9303820030063;4051.9303820030063;6.527400454855026
2017;10;5335.315072568365;;5335.315072568365;5335.315072568365;31.673414140223667
2017;11;7829.242708462563;;7829.242708462563;7829.242708462563;46.74377430335426
2017;12;15576.174009863027;;15576.174009863027;15576.174009863027;98.94866706618855
2018;1;13446.151589777295;;13446.151589777295;13446.151589777295;-13.67487560640357
2018;2;9399.274259571272;;9399.274259571272;9399.274259571272;-30.096918833510266
2018;3;9141.766464665145;;9141.766464665145;9141.766464665145;-2.739656145727498
2018;4;7917.109074145067;;7917.109074145067;7917.109074145067;-13.396288291257896
2018;5;8454.154228014308;;8454.154228014308;8454.154228014308;6.783349185159904
2018;6;6786.52430968524;;6786.52430968524;6786.52430968524;-19.72556773098705
2018;7;7070.579081512246;;7070.579081512246;7070.579081512246;4.185570681911854
2018;8;6701.274601878541;;6701.274601878541;6701.274601878541;-5.2231150430003925
2018;9;6611.288494658302;;6611.288494658302;6611.288494658302;-1.3428207701713046
2018;10;6503.431572097321;;6503.431572097321;6503.431572097321;-1.6314054763776453
2018;11;5501.286535461351;;5501.286535461351;5501.286535461351;-15.409480756830396
2018;12;3684.0550370597343;;3684.0550370597343;3684.0550370597343;-33.03284580229958
2019;1;3661.377844039735;;3661.377844039735;3661.377844039735;-0.6155497893456596
2019;2;3675.874108764173;;3675.874108764173;3675.874108764173;0.3959237571734331
2019;3;3930.1478055575126;;3930.1478055575126;3930.1478055575126;6.917366843088835
2019;4;5118.40377524764;;5118.40377524764;5118.40377524764;30.23438375548746
2019;5;7191.559089268884;;7191.559089268884;7191.559089268884;40.503942343254096
2019;6;9333.91601150218;;9333.91601150218;9333.91601150218;29.789881382328943
2019;7;10698.367555843952;;10698.367555843952;10698.367555843952;14.618211077326592
2019;8;10646.743263944123;;10646.743263944123;10646.743263944123;-0.48254363696477176
2019;9;9838.894285189072;;9838.894285189072;9838.894285189072;-7.58775673205988
2019;10;8348.787893962626;;8348.787893962626;8348.787893962626;-15.145059475530386
2019;11;8391.820301410371;;8391.820301410371;8391.820301410371;0.5154329945172398
2019;12;7260.18574622032;;7260.18574622032;7260.18574622032;-13.484971252302236
2020;1;8297.873269513788;;8297.873269513788;8297.873269513788;14.292850893431929
2020;2;9661.30680463542;;9661.30680463542;9661.30680463542;16.431120250183362
2020;3;6951.95301129559;;6951.95301129559;6951.95301129559;-28.043347014297314
2020;4;7134.565377461739;;7134.565377461739;7134.565377461739;2.626777912184375
2020;5;9221.57283038268;;9221.57283038268;9221.57283038268;29.252061513289185
2020;6;9492.753813578056;;9492.753813578056;9492.753813578056;2.9407237592041335
2020;7;9518.782679901477;;9518.782679901477;9518.782679901477;0.27419721225878657
2020;8;11630.115178920976;;11630.115178920976;11630.115178920976;22.1806986252296
2020;9;10673.321498967352;;10673.321498967352;10673.321498967352;-8.22686332193654
2020;10;11787.007625304124;;11787.007625304124;11787.007625304124;10.434297574981887
2020;11;16454.541288702465;;16454.541288702465;16454.541288702465;39.59897042382639
2020;12;21698.23643221539;;21698.23643221539;21698.23643221539;31.867768608737812
2021;1;34634.24310969527;;34634.24310969527;34634.24310969527;59.617779158649874
2021;2;45897.94904982026;;45897.94904982026;45897.94904982026;32.52187698876521
2021;3;54532.80524870421;;54532.80524870421;54532.80524870421;18.81316350216691
2021;4;57148.23715053179;;57148.23715053179;57148.23715053179;4.7960707135815905
2021;5;47187.7147902057;;47187.7147902057;47187.7147902057;-17.429273162161586
2021;6;35973.7444692424;;35973.7444692424;35973.7444692424;-23.76459714317607
2021;7;34271.52813871139;;34271.52813871139;34271.52813871139;-4.731829715381486
2021;8;45563.6735255675;;45563.6735255675;45563.6735255675;32.94905713323322
2021;9;46085.361451894605;;46085.361451894605;46085.361451894605;1.144964586831132
2021;10;57485.34348063382;;57485.34348063382;57485.34348063382;24.736666198525725
2021;11;60984.68847964431;;60984.68847964431;60984.68847964431;6.08736903553404
2021;12;49722.381007831485;;49722.381007831485;49722.381007831485;-18.46743461774344
2022;1;41413.91580726949;;41413.91580726949;41413.91580726949;-16.709709052857658
2022;2;40648.22165632696;;40648.22165632696;40648.22165632696;-1.8488813144496907
2022;3;41897.67000621025;;41897.67000621025;41897.67000621025;3.0738081494613434
2022;4;41716.10571715787;;41716.10571715787;41716.10571715787;-0.43335175685299543
2022;5;31945.262298936104;;31945.262298936104;31945.262298936104;-23.42223285286913
2022;6;24801.550994146888;;24801.550994146888;24801.550994146888;-22.36234981556914
2022;7;21431.69954994507;;21431.69954994507;21431.69954994507;-13.587260913630338
2022;8;22493.90961265909;;22493.90961265909;22493.90961265909;4.956256783269164
2022;9;19820.503938870683;;19820.503938870683;19820.503938870683;-11.885020077985331
2022;10;19614.28474983723;;19614.28474983723;19614.28474983723;-1.0404336321087726
2022;11;17712.67869374348;;17712.67869374348;17712.67869374348;-9.695005861019368
2022;12;16966.382112325467;;16966.382112325467;16966.382112325467;-4.213346802714957
2023;1;20044.788879919157;;20044.788879919157;20044.788879919157;18.14415558492779
2023;2;23308.15061444375;;23308.15061444375;23308.15061444375;16.280349741143073
2023;3;24986.55402819354;;24986.55402819354;24986.55402819354;7.200929157844471
2023;4;28833.24928947539;;28833.24928947539;28833.24928947539;15.395061107431761
2023;5;27572.75180546727;;27572.75180546727;27572.75180546727;-4.371680317237859
2023;6;27657.39415403656;;27657.39415403656;27657.39415403656;0.30697824129584106
2023;7;30090.07957460349;;30090.07957460349;30090.07957460349;8.79578678677464
2023;8;27950.695465212124;;27950.695465212124;27950.695465212124;-7.109931710506478
2023;9;26267.48492734632;;26267.48492734632;26267.48492734632;-6.0220703272330205
2023;10;29503.236965590902;;29503.236965590902;29503.236965590902;12.318469191833191
2023;11;36510.04472803711;;36510.04472803711;36510.04472803711;23.749284767017677
2023;12;42406.689796405;;42406.689796405;42406.689796405;16.150747314312895
2024;1;42900.73695831616;;42900.73695831616;42900.73695831616;1.1650217554897369
2024;2;49232.51961805317;;49232.51961805317;49232.51961805317;14.75914659901807
2024;3;67410.81873208864;;67410.81873208864;67410.81873208864;36.92335727495375
2024;4;66275.69509976043;;66275.69509976043;66275.69509976043;-1.6838894018474049
2024;5;65055.81549180553;;65055.81549180553;65055.81549180553;-1.8406138270125938
2024;6;66053.75856626955;;66053.75856626955;66053.75856626955;1.5339798093680246
2024;7;62761.60804689705;;62761.60804689705;62761.60804689705;-4.984047222792931
2024;8;60107.96853052593;;60107.96853052593;60107.96853052593;-4.228125439979557
2024;9;60210.02872389904;;60210.02872389904;60210.02872389904;0.16979478073906318
2024;10;65360.04001652121;;65360.04001652121;65360.04001652121;8.553411120659348
